条目  内容  时间
====  ====  ====
1     修复 arduino-esp32 BLE 库拼写错误：添加 -D esp_ble_gap_ext_adv_reprot_t=esp_ble_gap_ext_adv_report_t 到 variants/heltec_ct62/platformio.ini 的 [env:Heltec_ct62_companion_radio_ble] build_flags 中  2026-07-29 12:36
2     新增板卡 TinyLora_C3_V4_V5：基于 tinylora_solar_relay 参考移植，创建 variants/tiny_lora_c3_v4_v5/ 目录及全部5个文件（platformio.ini、target.h、target.cpp、TinyLoraC3V4V5Board.h、variant.h），含 simple_repeater 和 companion_radio_ble 两个编译目标  2026-07-29 12:50
3     修复 TinyLora_C3_V4_V5 编译错误 P_LORA_DIO_1 未声明：在 base 的 build_flags 中补充所有 LoRa 引脚和板级宏定义  2026-07-29 13:02
4     修复 TinyLora_C3_V4_V5 无日志/蓝牙不可用：在 base 的 build_flags 中启用 -D ARDUINO_USB_MODE=1 -D ARDUINO_USB_CDC_ON_BOOT=1，解决 ESP32-C3 Serial 默认走 UART0（GPIO20/21）与 I2C 引脚冲突问题  2026-07-29 13:08
5     修改 TinyLora_C3_V4_V5 射频芯片为 SX1262：platformio.ini 中 RADIO_CLASS/WRAPPER_CLASS 改为 CustomSX1262，variant.h 中 USE_SX1268→USE_SX1262，target.h 中 include CustomSX1262Wrapper.h  2026-07-29 13:15
6     修改 TinyLora_C3_V4_V5 射频芯片为 LLCC68 并补充 RXEN/TXEN 引脚：对比 Meshtastic 配置，芯片实际为 LLCC68，RADIO_CLASS=CustomLLCC68、WRAPPER_CLASS=CustomLLCC68Wrapper，添加 SX126X_RXEN=2、SX126X_TXEN=RADIOLIB_NC（射频开关控制）  2026-07-29 13:25
7     修改 TinyLora_C3_V4_V5 射频芯片为 SX1268：用户确认芯片为 SX1268（非 LLCC68），RADIO_CLASS/WRAPPER_CLASS 改为 CustomSX1268/Wrapper，保留 RXEN=2、TXEN=RADIOLIB_NC  2026-07-29 13:30
8     设置 TinyLora_C3_V4_V5 默认频率 480.375MHz SF11 125K CR5：LORA_FREQ=480.375/LORA_BW=125/LORA_SF=11/LORA_CR=5，芯片保持 SX1268（频率在 410-810MHz 范围内）  2026-07-29 13:40
9     设置 TinyLora_C3_V4_V5 默认功率 1dBm 用户上限 22dBm：LORA_TX_POWER=1（开机默认），MAX_LORA_TX_POWER=22（app 可调上限），解决 app 设功率报 illegal arg 的问题（MyMesh.h 中 MAX_LORA_TX_POWER 默认等于 LORA_TX_POWER）  2026-07-29 13:55
10    TinyLora_C3_V4_V5 LED(GPIO0) 心跳：亮 50ms / 灭 1000ms，FreeRTOS 独立任务，不阻塞主循环  2026-07-29 14:10
11    新增板卡 TinyLora_C3_V2：基于 Meshtastic TINYLORA_V2 配置移植，SX1262+TCXO、无 RXEN、LED=GPIO2、DIO2 作为射频开关，含 repeater 和 companion_radio_ble 两个目标  2026-07-29 14:25
12    TinyLora_C3 repeater 启用 ESP-IDF 自动电源管理（PM）：移除固定 ESP32_CPU_FREQ，让 CONFIG_PM_ENABLE + CONFIG_PM_DFS_INIT_AUTO 自动动态调频+light sleep（C3 SDK 默认已开启 PM），比固定 20MHz 更省电。BLE 模式保持 40MHz 稳定频率  2026-07-29 15:10
13    TinyLora_C3_V4_V5 运行时自动识别 LoRa 芯片（SX1262/SX1268/LLCC68）：参考 Mymetu/mv-game-meshtastic 的级联探测模式（RadioLib 版本字符串 0x0150 校验）。新建 variants/tiny_lora_c3_v4_v5/CustomSX126xAutoWrapper.h（单个固定 wrapper，经 SX126x 基类分发，radio_init() 探测后 select() 指向检测到的芯片）；target.h include 三个 Custom wrapper 头并声明 extern CustomSX126xAutoWrapper radio_driver；target.cpp 建三个 radio 实例共享同一 Module，radio_init() 级联尝试 SX1262→SX1268→LLCC68 的 std_init()，打印检测结果；variant.h 移除 USE_SX1268；platformio.ini 删除 RADIO_CLASS/WRAPPER_CLASS，LORA_SF 11→9（LLCC68 在 125kHz 下最高 SF9），新增 -D TINYLORA_C3_AUTODETECT 与诊断环境 TinyLora_C3_V4_V5_sx1268_repeater（-D FORCE_RADIO_SX1268）；simple_repeater/companion_radio 的 MyMesh.cpp 增加 LLCC68 SF 启动钳制（SF12/125k→SF9 等，钳制后持久化 prefs）  2026-08-30 19:47
14    TinyLora_C3_V2 改名 TinyLora_C3_V2_22S（E22-900M22S 模块，MAX_LORA_TX_POWER=22 不变），文件夹 variants/tiny_lora_c3_v2→tiny_lora_c3_v2_22s，类名 TinyLora_C3_V2_22S_Board、制造商名 "TinyLora C3 V2 22S"，env 改为 TinyLora_C3_V2_22S_repeater/_companion_radio_ble；新增板卡 TinyLora_C3_V2_29S（E22-900M29S 模块，带 PA，MAX_LORA_TX_POWER=3，env TinyLora_C3_V2_29S_repeater/_companion_radio_ble）；两板均改为 SX1262/SX1268/LLCC68 运行时自动识别（CustomSX126xAutoWrapper.h 移至 src/helpers/radiolib/ 共享，target.h/cpp 同 V4/V5 级联方案，variant.h 移除 USE_SX1262/USE_SX1268，platformio.ini 删除 RADIO_CLASS/WRAPPER_CLASS 并加 TINYLORA_C3_AUTODETECT），默认 LORA_SF 11→9  2026-08-30 20:15
15    新增板卡 TinyLora_C3_V3_22S（E22-900M22S 模块，MAX_LORA_TX_POWER=22，默认 AHT20+BMP280 传感器，env TinyLora_C3_V3_22S_repeater/_companion_radio_ble，类名 TinyLora_C3_V3_22S_Board）；TinyLora_C3_V3_29S 与 V3_22S 均改为 SX1262/SX1268/LLCC68 运行时自动识别（同 V4/V5 级联方案：target.h include 三 wrapper + CustomSX126xAutoWrapper，target.cpp 级联 std_init，variant.h 移除 USE_SX1268，platformio.ini 删除 RADIO_CLASS/WRAPPER_CLASS 加 TINYLORA_C3_AUTODETECT）；V3 两板默认 LORA_SF 11→9；V3_29S 保持 MAX_LORA_TX_POWER=3  2026-08-30 20:40
16    新增板卡 TinyLora_C3_V3_22S_GPS 和 TinyLora_C3_V3_29S_GPS（参考 RenMesh/variants/tiny_lora_c3_v3_29s_gps）：GPS 用 Serial1（PIN_GPS_TX=21/PIN_GPS_RX=20，复用 I2C 引脚 20/21）、PIN_GPS_EN=2、PIN_GPS_EN_ACTIVE=HIGH，ENV_INCLUDE_GPS=1+ENV_SKIP_GPS_DETECT=1，target.cpp 用 MicroNMEALocationProvider(Serial1,&rtc_clock)+EnvironmentSensorManager(nmea)，Board 启动时拉高 GPS_EN，lib_deps 加 stevemarple/MicroNMEA；两板均 SX1262/SX1268/LLCC68 自动识别（同 V4/V5 方案），LORA_SF=9；22S_GPS 功率 MAX_LORA_TX_POWER=22，29S_GPS=3；env：TinyLora_C3_V3_22S_GPS_repeater/_companion_radio_ble、TinyLora_C3_V3_29S_GPS_repeater/_companion_radio_ble  2026-08-30 21:05
